
==============================================================================
STRATEGY SCORES ON LAST 250 DAYS (eval.py scoring)
==============================================================================
strategy                   mean$      std$   Sharpe     Score      $volume
starter(momentum)         -30.52   1278.90    -0.38    -30.52      6548798
cointegration-pairs       113.05    393.93     4.54    107.82      5986884
ALGO-leadlag              -54.85    629.14    -1.38    -54.85     13591460
xs-reversal               -13.61    731.69    -0.29    -13.61     52662419

==============================================================================
PAIRS PARAMETER SWEEP (lookback x entry-z)
==============================================================================
 lookback  entry_z   Sharpe     Score
       30     0.75     2.75     70.80
       30     1.00     2.82     65.20
       30     1.50     3.16     52.27
       30     2.00     2.23     22.09
       45     0.75     3.71     97.35
       45     1.00     4.00     91.45
       45     1.50     3.91     65.27
       45     2.00     2.53     24.47
       60     0.75     4.46    122.84
       60     1.00     4.54    107.82
       60     1.50     4.85     84.74
       60     2.00     3.92     41.29
       90     0.75     6.25    166.02
       90     1.00     6.40    145.45
       90     1.50     4.33     70.10
       90     2.00     4.01     37.24

Best pairs config: lookback=90, entry_z=0.75, score=166.02
