library,family,test,target,statistic,pvalue,note,q_bh,sig_raw,sig_bh,sig_bonf
statsmodels,unitroot,adf_return,MTNS,-22.40931775050067,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,SRTX,-21.717646784287485,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,ACIX,-21.085023108184487,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,RCRI,-20.861648945780765,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,CCNS,-22.53562540504201,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,ILVX,-20.77737673423556,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,FCSG,-21.42212956419276,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,RRES,-21.66933076673919,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,ITPA,-21.310031943662366,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,FARS,-23.63164029216789,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,HRET,-24.033103133153453,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,CUBO,-23.825941144683423,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,BLBT,-23.92707173460272,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,AETS,-23.032616880414423,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,EORC,-22.713844305437497,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,SMAH,-22.124445593731732,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,RTTH,-21.129611192717388,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,CTGI,-21.94354543390312,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,ALUT,-20.705448248699263,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,NWIG,-22.814868424292925,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,MMBT,-22.06343847440205,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,NGTE,-23.49473721786809,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,HTRK,-23.555794729618786,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,MSDP,-22.427830075096637,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,DUCT,-23.38122431837959,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,HUXZ,-23.076489868602007,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,AGVF,-23.517722273156892,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,LSST,-22.030156502835187,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,AENO,-21.641854929859004,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,OTCS,-22.738092678506007,0.0,,1.0373684210526317e-298,True,True,True
scipy,cross,levene_var_51inst,ALL,70.34159999127615,0.0,,1.0373684210526317e-298,True,True,True
sklearn,crossdecomp,cca_canoncorr_1,lag->next,0.7247293214825757,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,ANSO,-25.122993566722364,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,MHRM,-23.596943255263024,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,FWWG,-22.21286416845055,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,BENI,-21.452215378424107,0.0,,1.0373684210526317e-298,True,True,True
statsmodels,unitroot,adf_return,HRND,-22.32232663400156,0.0,,1.0373684210526317e-298,True,True,True
