library,family,test,target,statistic,pvalue,note
arch,unitroot,ADF,ALGO,-1.0869391985053634,0.7202521987113772,
arch,unitroot,DFGLS,ALGO,-1.163336888278384,0.2305214866971712,
arch,unitroot,PP,ALGO,-0.902037860650871,0.7873005801098344,
arch,unitroot,KPSS,ALGO,1.049553104359394,0.001901224790324793,
arch,unitroot,ZivotAndrews,ALGO,-3.86287986325198,0.4378572358830068,
arch,unitroot,VarianceRatio_q5,ALGO,-0.5660965873386639,0.5713281230734644,
arch,unitroot,ADF,AENO,-0.2033372448253303,0.9381226558971992,
arch,unitroot,DFGLS,AENO,0.6191708630001063,0.8629094352168065,
arch,unitroot,PP,AENO,-0.5575015932899791,0.8802987210661941,
arch,unitroot,KPSS,AENO,3.15958228253342,0.0001,
arch,unitroot,ZivotAndrews,AENO,-3.552866231616479,0.6453178958279358,
arch,unitroot,VarianceRatio_q5,AENO,-0.2856289293707612,0.775162343692043,
arch,unitroot,ADF,LSST,-2.588310675230198,0.09543736053747176,
arch,unitroot,DFGLS,LSST,-0.7759616714307673,0.3905421591839515,
arch,unitroot,PP,LSST,-2.353028467589031,0.15543480585706454,
arch,unitroot,KPSS,LSST,0.6577952476487748,0.01623818785375493,
arch,unitroot,ZivotAndrews,LSST,-3.770935653124755,0.4995553914690484,
arch,unitroot,VarianceRatio_q5,LSST,0.9178619114663384,0.35869116448058325,
arch,unitroot,ADF,SRNA,-0.6617628455191051,0.8564068319356349,
arch,unitroot,DFGLS,SRNA,-0.1797191053847472,0.6283998650409984,
arch,unitroot,PP,SRNA,-0.843675654495716,0.8059549450913144,
arch,unitroot,KPSS,SRNA,1.7874114134055488,0.0001,
arch,unitroot,ZivotAndrews,SRNA,-3.520631421849303,0.6662755937342841,
arch,unitroot,VarianceRatio_q5,SRNA,2.6014434480916413,0.009283236928813832,
arch,unitroot,ADF,ELLT,-1.7247721456162224,0.4183964303822514,
arch,unitroot,DFGLS,ELLT,-0.5085177911223667,0.5181052232977686,
arch,unitroot,PP,ELLT,-1.7431810604056714,0.4090127470653152,
arch,unitroot,KPSS,ELLT,1.2479712860769916,0.0006442369445620978,
arch,unitroot,ZivotAndrews,ELLT,-3.6776157821239197,0.5627138436210791,
arch,unitroot,VarianceRatio_q5,ELLT,0.022127812889920783,0.9823460004269153,
arch,unitroot,ADF,AMRP,-1.96600240284183,0.30167585364374594,
arch,unitroot,DFGLS,AMRP,-0.5512258603178373,0.4973778731677431,
arch,unitroot,PP,AMRP,-2.294031347123167,0.1739002076167832,
arch,unitroot,KPSS,AMRP,2.7816603302634637,0.0001,
arch,unitroot,ZivotAndrews,AMRP,-4.248525162372874,0.2150881019860772,
arch,unitroot,VarianceRatio_q5,AMRP,0.05916058090438727,0.9528242065031156,
arch,unitroot,ADF,OTCS,-0.9499177907316249,0.7710898640839707,
arch,unitroot,DFGLS,OTCS,0.28218885948989714,0.7820296715891004,
arch,unitroot,PP,OTCS,-0.8503258654158029,0.8038906361675784,
arch,unitroot,KPSS,OTCS,3.2890486843373874,0.0001,
arch,unitroot,ZivotAndrews,OTCS,-3.906351331156395,0.40924914669461854,
arch,unitroot,VarianceRatio_q5,OTCS,0.28448907335621565,0.776035606465324,
arch,unitroot,ADF,HETT,-1.923490324099942,0.32109248031886145,
arch,unitroot,DFGLS,HETT,-1.4014136279394902,0.1552805728672086,
arch,unitroot,PP,HETT,-1.9647250833610044,0.3022507938481277,
arch,unitroot,KPSS,HETT,0.22090260062959924,0.2307649440171441,
arch,unitroot,ZivotAndrews,HETT,-2.818514991977144,0.951977212991191,
arch,unitroot,VarianceRatio_q5,HETT,2.298100975465452,0.021556042758204663,
arch,unitroot,ADF,HUXZ,-0.750046516548042,0.8333571618604655,
arch,unitroot,DFGLS,HUXZ,0.19865623991100212,0.7577855996279999,
arch,unitroot,PP,HUXZ,-0.7794279419310041,0.8250903952561516,
arch,unitroot,KPSS,HUXZ,2.850028727019725,0.0001,
arch,unitroot,ZivotAndrews,HUXZ,-4.550136389124818,0.10472538020593257,
arch,unitroot,VarianceRatio_q5,HUXZ,0.13002282446687996,0.8965483686649978,
arch,unitroot,ADF,DUCT,-0.5782551828351432,0.8758201542381363,
arch,unitroot,DFGLS,DUCT,-0.176642327870071,0.6295664546592236,
arch,unitroot,PP,DUCT,-0.5473298659021897,0.8824448331015706,
arch,unitroot,KPSS,DUCT,2.4182688301165896,0.0001,
arch,unitroot,ZivotAndrews,DUCT,-3.5844043139980046,0.624420677181285,
arch,unitroot,VarianceRatio_q5,DUCT,-1.4594177736026475,0.14445015702567177,
arch,unitroot,ADF,SMAH,-1.446294576421739,0.5598918961366925,
arch,unitroot,DFGLS,SMAH,-0.6563719290881207,0.446713354303615,
arch,unitroot,PP,SMAH,-1.4635087412435932,0.5514796720181293,
arch,unitroot,KPSS,SMAH,2.628491799976761,0.0001,
arch,unitroot,ZivotAndrews,SMAH,-3.508733602457238,0.6739694759071143,
arch,unitroot,VarianceRatio_q5,SMAH,-0.14053936461483416,0.8882338526380356,
arch,unitroot,ADF,NPCK,-0.8888639004014359,0.7916175704464015,
arch,unitroot,DFGLS,NPCK,0.31131861142456896,0.7900909295818408,
arch,unitroot,PP,NPCK,-1.0587950213989994,0.7312212857253788,
arch,unitroot,KPSS,NPCK,3.5538522901248033,0.0001,
arch,unitroot,ZivotAndrews,NPCK,-5.350422315193213,0.007349774779129343,
arch,unitroot,VarianceRatio_q5,NPCK,2.247962129937767,0.024578604823702888,
arch,unitroot,ADF,MSDP,-0.855123078939279,0.8023917423820986,
arch,unitroot,DFGLS,MSDP,0.34061190024502547,0.7979914029595939,
arch,unitroot,PP,MSDP,-0.8014512225483944,0.8186954102561332,
arch,unitroot,KPSS,MSDP,3.1198770784816126,0.0001,
arch,unitroot,ZivotAndrews,MSDP,-3.746339488589511,0.5156792984108379,
arch,unitroot,VarianceRatio_q5,MSDP,-0.007394562565632179,0.9941000464628464,
arch,unitroot,ADF,EORC,-0.21667731709433719,0.9365043093189945,
arch,unitroot,DFGLS,EORC,-0.47613046814349036,0.5100141842655663,
arch,unitroot,PP,EORC,-0.058628689964925484,0.953406522072047,
arch,unitroot,KPSS,EORC,1.0383083179472465,0.001989006105017591,
arch,unitroot,ZivotAndrews,EORC,-2.8141473764874836,0.9526277365970386,
arch,unitroot,VarianceRatio_q5,EORC,-1.2261916475072758,0.2201265637174703,
arch,unitroot,ADF,CUBO,-0.7250093848610356,0.84016476403819,
arch,unitroot,DFGLS,CUBO,0.10221102448327003,0.7277478008680132,
arch,unitroot,PP,CUBO,-0.7092025367382269,0.8443514518391207,
arch,unitroot,KPSS,CUBO,2.9257112987480696,0.0001,
arch,unitroot,ZivotAndrews,CUBO,-4.159522917852169,0.25992656066178405,
arch,unitroot,VarianceRatio_q5,CUBO,-0.5372065072781431,0.5911249768526887,
arch,unitroot,ADF,HRET,-1.592330838259315,0.48744484265769883,
arch,unitroot,DFGLS,HRET,-1.5067196032830281,0.12813775629341545,
arch,unitroot,PP,HRET,-1.6068412311556202,0.48015608218150185,
arch,unitroot,KPSS,HRET,0.6855888623477033,0.01395104541797629,
arch,unitroot,ZivotAndrews,HRET,-3.8024514818725974,0.47715926529804037,
arch,unitroot,VarianceRatio_q5,HRET,-1.2841333500460184,0.19909530076905702,
arch,unitroot,ADF,ANSO,-1.5266255535890965,0.5203013628076256,
arch,unitroot,DFGLS,ANSO,-0.4995168343047682,0.5224758890787384,
arch,unitroot,PP,ANSO,-1.5596643931215306,0.5038172420734865,
arch,unitroot,KPSS,ANSO,2.7981303614873756,0.0001,
arch,unitroot,ZivotAndrews,ANSO,-3.714992288041771,0.5368438015781581,
arch,unitroot,VarianceRatio_q5,ANSO,-2.246669779477082,0.024661138988885778,
arch,unitroot,ADF,DIHO,-2.178797098350098,0.21403068066710362,
arch,unitroot,DFGLS,DIHO,-1.331733034862598,0.17530242324852124,
arch,unitroot,PP,DIHO,-2.1927105156728697,0.20890174913171183,
arch,unitroot,KPSS,DIHO,1.1603609886936503,0.0010362139836561258,
arch,unitroot,ZivotAndrews,DIHO,-3.563523713665865,0.6382562194103729,
arch,unitroot,VarianceRatio_q5,DIHO,-0.8840811669484253,0.3766523988581938,
arch,unitroot,ADF,RTTH,-2.627748678420663,0.0873967164017202,
arch,unitroot,DFGLS,RTTH,-1.9155864724348284,0.05499052080662017,
arch,unitroot,PP,RTTH,-2.3578022838801647,0.15400218317892816,
arch,unitroot,KPSS,RTTH,2.008004755744831,0.0001,
arch,unitroot,ZivotAndrews,RTTH,-4.819300797516494,0.04903124887571344,
arch,unitroot,VarianceRatio_q5,RTTH,0.935697274714448,0.34942907419420965,
arch,unitroot,ADF,SPLZ,-0.7388443604301941,0.8364298351675518,
arch,unitroot,DFGLS,SPLZ,0.20025700332272237,0.7582658077992275,
arch,unitroot,PP,SPLZ,-0.5349346916821409,0.8850170634996061,
arch,unitroot,KPSS,SPLZ,2.1198086598344594,0.0001,
arch,unitroot,ZivotAndrews,SPLZ,-3.198656141373593,0.8409857529372371,
arch,unitroot,VarianceRatio_q5,SPLZ,-0.14635323222612687,0.8836425449681595,
arch,unitroot,ADF,NWIG,-0.6069853501192748,0.8693957988609078,
arch,unitroot,DFGLS,NWIG,0.0776373844938244,0.7197527308816211,
arch,unitroot,PP,NWIG,-0.5552540697576168,0.8807756744278845,
arch,unitroot,KPSS,NWIG,2.920932175325547,0.0001,
arch,unitroot,ZivotAndrews,NWIG,-3.3682661660322304,0.7590562753252148,
arch,unitroot,VarianceRatio_q5,NWIG,0.29712478400272213,0.7663712434314842,
arch,unitroot,ADF,MMBT,-1.9795899149932197,0.29559328267296314,
arch,unitroot,DFGLS,MMBT,-0.6255809223767244,0.4614647004859039,
arch,unitroot,PP,MMBT,-1.8824708680376716,0.34035176428807756,
arch,unitroot,KPSS,MMBT,2.338572173377512,0.0001,
arch,unitroot,ZivotAndrews,MMBT,-3.712898643977603,0.5382940953327773,
arch,unitroot,VarianceRatio_q5,MMBT,-0.7296848965263354,0.4655828152698396,
arch,unitroot,ADF,MDGI,-1.8909970831794884,0.3363081475611006,
arch,unitroot,DFGLS,MDGI,-0.6479839092888923,0.45072279750144306,
arch,unitroot,PP,MDGI,-1.7688641131261904,0.3960256450812954,
arch,unitroot,KPSS,MDGI,0.9354994465991134,0.003498116541683458,
arch,unitroot,ZivotAndrews,MDGI,-2.337342027140151,0.9911110536776856,
arch,unitroot,VarianceRatio_q5,MDGI,-0.7888041207648611,0.43022650068364765,
arch,unitroot,ADF,AGVF,-1.138284637774943,0.6995655609902345,
arch,unitroot,DFGLS,AGVF,0.22330770562162763,0.7651133839353249,
arch,unitroot,PP,AGVF,-1.1806312742456693,0.6818716656535597,
arch,unitroot,KPSS,AGVF,3.2298769659176765,0.0001,
arch,unitroot,ZivotAndrews,AGVF,-4.097025376027764,0.2938176212470854,
arch,unitroot,VarianceRatio_q5,AGVF,-0.285961884757809,0.7749073145951937,
arch,unitroot,ADF,RRES,-1.0889955994121758,0.7194403224661167,
arch,unitroot,DFGLS,RRES,-0.13678582296776307,0.6445308784628297,
arch,unitroot,PP,RRES,-1.1664492632850423,0.68785937968095,
arch,unitroot,KPSS,RRES,2.9020215104436557,0.0001,
arch,unitroot,ZivotAndrews,RRES,-3.595689258340719,0.6169432425518689,
arch,unitroot,VarianceRatio_q5,RRES,1.3793870639367907,0.16777544556932433,
arch,unitroot,ADF,CTGI,-2.2715613382019266,0.1813040833253184,
arch,unitroot,DFGLS,CTGI,-1.4183395234839034,0.1506667108008254,
arch,unitroot,PP,CTGI,-2.210195103111573,0.20256605311160725,
arch,unitroot,KPSS,CTGI,1.6576688132549524,0.0001,
arch,unitroot,ZivotAndrews,CTGI,-4.754482151976662,0.06045861217022898,
arch,unitroot,VarianceRatio_q5,CTGI,-0.05329546339524474,0.9574964947527835,
arch,unitroot,ADF,ALUT,-1.3588397583700127,0.6018421751935287,
arch,unitroot,DFGLS,ALUT,-0.919537487750189,0.32658507216922295,
arch,unitroot,PP,ALUT,-1.440527016140261,0.5627002458895705,
arch,unitroot,KPSS,ALUT,2.292280327653034,0.0001,
arch,unitroot,ZivotAndrews,ALUT,-4.1945073319734165,0.24165086957891174,
arch,unitroot,VarianceRatio_q5,ALUT,0.9877820696445244,0.32325939074532073,
arch,unitroot,ADF,ACAC,-0.2925865691408119,0.9265477530216679,
arch,unitroot,DFGLS,ACAC,0.5574461920538045,0.8500895642811428,
arch,unitroot,PP,ACAC,-0.5255041695255945,0.8869427068244811,
arch,unitroot,KPSS,ACAC,2.6898850568310944,0.0001,
arch,unitroot,ZivotAndrews,ACAC,-4.446853538265336,0.1362968849975941,
arch,unitroot,VarianceRatio_q5,ACAC,-1.7459577788867102,0.08081828867725638,
arch,unitroot,ADF,SRTX,-0.628763709956762,0.8643492609554946,
arch,unitroot,DFGLS,SRTX,-0.3662954631268192,0.5550330259079608,
arch,unitroot,PP,SRTX,-0.7065806298602172,0.8450376350300419,
arch,unitroot,KPSS,SRTX,2.729041865683032,0.0001,
arch,unitroot,ZivotAndrews,SRTX,-4.067908699224184,0.31086377437413204,
arch,unitroot,VarianceRatio_q5,SRTX,-0.1989235377078811,0.8423225570208179,
arch,unitroot,ADF,GARI,-1.3079387905264974,0.6255325260209759,
arch,unitroot,DFGLS,GARI,-0.29469719405710443,0.5837433737273213,
arch,unitroot,PP,GARI,-1.1748068774070397,0.6843382015309082,
arch,unitroot,KPSS,GARI,3.6716632692401956,0.0001,
arch,unitroot,ZivotAndrews,GARI,-4.588164442355253,0.0950116985035277,
arch,unitroot,VarianceRatio_q5,GARI,-0.3994880051038801,0.6895336602451203,
arch,unitroot,ADF,RCRI,-2.4424932879994024,0.13010029639693133,
arch,unitroot,DFGLS,RCRI,-1.619602630089898,0.10306630635272324,
arch,unitroot,PP,RCRI,-2.5227827067423214,0.11002898911716746,
arch,unitroot,KPSS,RCRI,1.8063451612923085,0.0001,
arch,unitroot,ZivotAndrews,RCRI,-3.9406015094767097,0.38781264788692227,
arch,unitroot,VarianceRatio_q5,RCRI,1.1631702745200905,0.24476042436802858,
arch,unitroot,ADF,ACIX,-1.9918258211356221,0.29016865310834905,
arch,unitroot,DFGLS,ACIX,-0.9842051945976038,0.2994070206901033,
arch,unitroot,PP,ACIX,-2.0682237869875206,0.2574823915166917,
arch,unitroot,KPSS,ACIX,1.3449528105781858,0.00038564294337372983,
