a,b,coint_p,hedge_beta,half_life_d,spread_adf_p,ret_corr,z_now,q_bh,sig_bh,sig_bonf
AENO,NWIG,2.2747973059259926e-06,1.071708000875655,3.889219607248646,2.444676803508385e-07,0.2529253942111988,-0.06711389456406792,0.0019160143408148138,True,True
EORC,NGTE,4.2865885559928495e-06,1.578725770293393,5.429923888773458,4.748295857284486e-07,0.23185525860509076,0.9279957568677638,0.0019160143408148138,True,True
HETT,ULXY,4.508269037211326e-06,0.6578995356662085,5.453984820516319,5.006082697939973e-07,0.14762174047517296,-0.9476512565598869,0.0019160143408148138,True,True
SMAH,ILVX,9.408404710506407e-06,1.3959846951142545,5.770781484256561,1.083895076782786e-06,0.2975947740123502,0.36908338795761036,0.0027672899181990064,True,True
HUXZ,ACAC,1.0852117326270614e-05,1.1308155893385954,5.917629922736142,1.259643122277621e-06,0.24975116189990235,-0.1886891663733531,0.0027672899181990064,True,True
CTGI,EELT,5.538640779368582e-05,0.7507860829365796,6.647103366947653,7.079319316183375e-06,0.24196812012057942,-1.6134910782199436,0.011769611656158236,True,False
ACIX,ITPA,0.00047094253434297906,1.0356527153422117,8.122382254859604,7.059644518942645e-05,0.4385681169347395,0.17772534782871435,0.08577881875532833,False,False
RTTH,NAYO,0.0010523234759438154,0.4893778497859041,8.537516447113857,0.00016984787821572658,0.22573367435489589,-1.528542811967211,0.16771405397854558,False,False
AGVF,NAYO,0.0015905236784693399,0.11576480639189274,9.05298933821558,0.0002671604529192049,0.10789432835906487,-1.434170718750904,0.20665631974838802,False,False
ACAC,NAYO,0.00177609352440411,0.2044489622260529,9.203430446283472,0.00030165810198025,0.0886663656807751,-0.902681917051483,0.20665631974838802,False,False
RCRI,BENI,0.0019401647472344916,0.1648941108575725,12.142332721955876,0.0003303297742300469,0.14907958232240157,0.41175552017754463,0.20665631974838802,False,False
HUXZ,NAYO,0.002186276559829883,0.16909034992624616,9.48479640465559,0.00037946323788805487,0.07907167726390742,-0.9444751981017886,0.20665631974838802,False,False
SRTX,NAYO,0.00235990863588531,0.0553747604011248,9.560340147850273,0.00041294115192249027,0.12261304979212505,-0.5393311989704519,0.20665631974838802,False,False
ALUT,MTNS,0.0024434082988287614,0.3838407046038266,11.397081464883232,0.0004279235555420294,0.1110336323458892,0.5636967424008527,0.20665631974838802,False,False
DUCT,NWIG,0.00276154966360883,5.972075539539247,9.963601793964704,0.0004908879948357748,0.23771808235634237,-0.11247353935391848,0.20665631974838802,False,False
RTTH,BENI,0.002963064108793894,0.21484450014935458,14.123198381736415,0.000522149599540285,0.11763964969353717,0.47838714661343357,0.20665631974838802,False,False
SPLZ,NAYO,0.0030229260748734724,0.13901514396729664,9.937862610277003,0.0005433315867481921,0.09181397125925637,-0.44151648261075127,0.20665631974838802,False,False
FWWG,BLBT,0.003069819696350836,0.6621535612583829,9.900781215162395,0.0005527372438845809,0.3745113224184164,-0.643263149369637,0.20665631974838802,False,False
RTTH,MTNS,0.0030795843727210765,0.12468910180592174,13.623768302132982,0.0005514763775527796,0.06066242822623562,-0.0860846443350025,0.20665631974838802,False,False
MSDP,MTNS,0.0035955852011337027,0.1841977942794623,11.291549883799979,0.0006580318261913254,0.22724032455056226,1.0757148974988198,0.2156746619123325,False,False
MSDP,NAYO,0.004017214586344467,0.42797705270173025,10.258418223634461,0.0007459085446302435,0.16260148584869172,-0.8539793930226086,0.2156746619123325,False,False
NAYO,BENI,0.004104836502933345,0.24287309130279444,14.56304507491423,0.0007578736974320462,0.09027654890381674,0.7512719569097981,0.2156746619123325,False,False
HRET,EELT,0.00411911586701365,1.3469784202587465,11.486679216629614,0.0007650705848651966,0.0697908459588469,-0.7454973087952659,0.2156746619123325,False,False
CUBO,EAFC,0.004129024005027753,-0.2880354673082654,10.971687905768057,0.0007706776439671663,0.20402643114597369,-1.5159605962959553,0.2156746619123325,False,False
FWWG,EAFC,0.004267998614633341,0.4834691390953749,10.431363407238662,0.0007984250448954773,0.25405932768377715,0.6149027609378169,0.2156746619123325,False,False
SRTX,MHRM,0.0043980715370358,0.06550370603334038,11.897209893008576,0.0008236366246377707,0.09555922149349393,-0.513230117738025,0.2156746619123325,False,False
OTCS,FARS,0.0049356806388690345,-1.3565325715695407,14.497339558966562,0.0009331820566801566,0.007027549187667384,1.1823100723643156,0.2255655880626755,False,False
MTNS,BENI,0.004953597228043069,0.5898583613471128,10.515079132561997,0.0009431245671299152,0.38541609159491746,-0.5199984228108935,0.2255655880626755,False,False
CUBO,NWIG,0.005366068612256598,-0.7430430450296845,10.53919709938597,0.001032260754131844,0.33656098928094685,0.9476936156564242,0.2265879078897285,False,False
CUBO,FWWG,0.005415231882479039,-0.1457857797788174,10.84909652356324,0.001042307734919731,0.31407645875380075,-0.6200310903146479,0.2265879078897285,False,False
BLBT,EAFC,0.005509196191828693,0.6999624789255625,10.438799453086581,0.0010633547607889655,0.2967007932118801,1.2369781774556827,0.2265879078897285,False,False
MTNS,NAYO,0.006013045622686145,0.15730015550773302,13.22092425854498,0.0011690533591856545,0.08779823847839847,0.22517912492068973,0.23263744364744193,False,False
NAYO,EAFC,0.006021204423816144,0.2913042510933024,10.946768592711798,0.0011736753824599583,0.0841527550987634,-0.8624374984080431,0.23263744364744193,False,False
