library,family,test,target,statistic,pvalue,note
scipy,copula,mean_lower_tail_dep,ALL,0.16788085975873313,,
scipy,copula,mean_upper_tail_dep,ALL,0.16319698219969353,,
scipy,copula,tail_asymmetry_ttest,ALL,2.4960602352759245,0.0126837446843704,
statsmodels,copula,best_Gaussian,AENO-NWIG,-34.1194825694656,,
statsmodels,copula,best_Frank,EORC-NGTE,-29.334029970665526,,
statsmodels,copula,best_Frank,HETT-ULXY,-9.714757035427223,,
statsmodels,copula,best_Gaussian,SMAH-ILVX,-41.56770325765059,,
statsmodels,copula,best_Frank,HUXZ-ACAC,-30.759001798464936,,
statsmodels,copula,best_Gumbel,CTGI-EELT,-32.557466263356915,,
statsmodels,copula,best_Gaussian,ALGO-ILVX,-207.70769511306042,,
statsmodels,copula,best_Frank,ALGO-BLBT,-160.61989582770278,,
statsmodels,copula,best_Gaussian,ALGO-DUCT,-157.14804818873404,,
statsmodels,copula,best_Gaussian,ALGO-BENI,-159.1596849091387,,
