library,family,test,target,statistic,pvalue,note
scipy,normality,shapiro,ALGO,0.9974808652323991,0.6562632570925726,
scipy,normality,normaltest_K2,ALGO,0.7012792655922336,0.7042374922293252,
scipy,normality,jarque_bera,ALGO,0.8066927183144396,0.66808066339037,
scipy,normality,kstest_norm,ALGO,0.027761643222548593,0.8260433716682982,
scipy,normality,cramervonmises,ALGO,0.03879403505672218,0.9394347652858659,
scipy,normality,skewtest,ALGO,-0.5284185171949815,0.5972088880761144,
scipy,normality,kurtosistest,ALGO,-0.6496561677362039,0.5159143430626344,
scipy,normality,anderson_darling,ALGO,0.26364677177707563,,crit5%=0.751 reject=False
scipy,normality,shapiro,AENO,0.9952011067771941,0.12573664249743932,
scipy,normality,normaltest_K2,AENO,5.902546275396489,0.05227311269585954,
scipy,normality,jarque_bera,AENO,7.214100514427438,0.027131760661125798,
scipy,normality,kstest_norm,AENO,0.03654015457828963,0.5062799310511288,
scipy,normality,cramervonmises,AENO,0.10345495629254131,0.5683764465089967,
scipy,normality,skewtest,AENO,-1.102151772247798,0.27039569475355185,
scipy,normality,kurtosistest,AENO,2.1651345792646532,0.030377380533730472,
scipy,normality,anderson_darling,AENO,0.6036119414453651,,crit5%=0.751 reject=False
scipy,normality,shapiro,LSST,0.9969127392087918,0.4655200749114474,
scipy,normality,normaltest_K2,LSST,2.2326828894378203,0.3274756935860759,
scipy,normality,jarque_bera,LSST,2.2184632221063096,0.32981228785249667,
scipy,normality,kstest_norm,LSST,0.026679557362114803,0.8599789428040816,
scipy,normality,cramervonmises,LSST,0.051053104926372266,0.8700740626563688,
scipy,normality,skewtest,LSST,1.0762007243000786,0.2818374959040508,
scipy,normality,kurtosistest,LSST,-1.0365688064252205,0.2999368571396046,
scipy,normality,anderson_darling,LSST,0.33376662536409185,,crit5%=0.751 reject=False
scipy,normality,shapiro,SRNA,0.9967963615497986,0.430352222675465,
scipy,normality,normaltest_K2,SRNA,1.3825746763107096,0.5009307864920889,
scipy,normality,jarque_bera,SRNA,1.4606385319248703,0.4817551575107353,
scipy,normality,kstest_norm,SRNA,0.03771709525730371,0.46548181712518377,
scipy,normality,cramervonmises,SRNA,0.10982738988506513,0.5389789133064882,
scipy,normality,skewtest,SRNA,0.8895793246928317,0.37369181198542667,
scipy,normality,kurtosistest,SRNA,-0.7689104638316187,0.44194646516399483,
scipy,normality,anderson_darling,SRNA,0.5650141759682015,,crit5%=0.751 reject=False
scipy,normality,shapiro,ELLT,0.9979520624150167,0.8159490256001276,
scipy,normality,normaltest_K2,ELLT,0.2906114851619426,0.8647578593886323,
scipy,normality,jarque_bera,ELLT,0.30664163985098175,0.8578544608549414,
scipy,normality,kstest_norm,ELLT,0.02923474987064134,0.7758371745487567,
scipy,normality,cramervonmises,ELLT,0.042633238296224035,0.9193119012397183,
scipy,normality,skewtest,ELLT,-0.5390826506970436,0.5898298261693302,
scipy,normality,kurtosistest,ELLT,-0.001175108246860385,0.9990623994883435,
scipy,normality,anderson_darling,ELLT,0.26539200896718285,,crit5%=0.751 reject=False
scipy,normality,shapiro,AMRP,0.9973590110981556,0.6136112688919563,
scipy,normality,normaltest_K2,AMRP,2.1894990848490794,0.3346234054210025,
