library,family,test,target,statistic,pvalue,note
sklearn,decomp,pca_pc1_var,PC1,0.22654116926236806,,
sklearn,decomp,pca_pc2_var,PC2,0.055609288587353936,,
sklearn,decomp,pca_pc3_var,PC3,0.0385359323997423,,
sklearn,decomp,pca_pc4_var,PC4,0.024972415782674562,,
sklearn,decomp,pca_pc5_var,PC5,0.024045168427844703,,
sklearn,decomp,kernelpca_5comp,ALL,,,rbf kernel fit ok
sklearn,decomp,fastica_5comp,ALL,,,
sklearn,decomp,factoranalysis_1f_loglik,ALL,-66.69271071402295,,
sklearn,decomp,factoranalysis_2f_loglik,ALL,-65.85894977944137,,
sklearn,decomp,factoranalysis_3f_loglik,ALL,-65.4578474593264,,
sklearn,decomp,factoranalysis_5f_loglik,ALL,-65.30305434860327,,
sklearn,decomp,factoranalysis_10f_loglik,ALL,-64.94624855448436,,
sklearn,decomp,truncatedsvd_5_var,ALL,0.3695139291984373,,
sklearn,decomp,nmf_3_recon_err,ALL,9.25564438684127,,
sklearn,covariance,Empirical_condnum,ALL,11818.480544704762,,
sklearn,covariance,LedoitWolf_condnum,ALL,182.25802864183112,,
sklearn,covariance,OAS_condnum,ALL,180.6971921943677,,
sklearn,covariance,MinCovDet_condnum,ALL,14208.82090281962,,
sklearn,covariance,graphicallasso_precision_sparsity,ALL,0.5356862745098039,,
sklearn,covariance,ledoitwolf_shrinkage,ALL,0.05130518615034095,,
sklearn,feat_dep,mutual_info,own_lag1,0.006636164956480783,,
sklearn,feat_dep,f_regression,own_lag1,0.10659730391183028,0.7440545259580824,
sklearn,feat_dep,pearson_r,own_lag1,0.0020549521308538396,,
sklearn,feat_dep,mutual_info,own_lag2,0.011026578375977536,,
sklearn,feat_dep,f_regression,own_lag2,6.51492021546108,0.010703146140210314,
sklearn,feat_dep,pearson_r,own_lag2,-0.0160630507398255,,
sklearn,feat_dep,mutual_info,own_lag3,0.0,,
sklearn,feat_dep,f_regression,own_lag3,0.11221507182067754,0.7376390479822772,
sklearn,feat_dep,pearson_r,own_lag3,-0.0021084055314728937,,
sklearn,feat_dep,mutual_info,mkt_lag1,0.015330085958221495,,
sklearn,feat_dep,f_regression,mkt_lag1,1.1490487118808361,0.2837586240415052,
sklearn,feat_dep,pearson_r,mkt_lag1,0.006746660434245401,,
sklearn,crossdecomp,cca_canoncorr_1,lag->next,0.7247293214825757,0.0,
sklearn,crossdecomp,cca_canoncorr_2,lag->next,0.6468909218130791,,
sklearn,crossdecomp,cca_canoncorr_3,lag->next,0.6049969614768649,,
sklearn,crossdecomp,pls_insample_r2,lag->next,0.02412562135801183,,
sklearn,cluster,KMeans5_silhouette,ALL,-0.13532212315324707,,nclusters=5
sklearn,cluster,Agg5_silhouette,ALL,0.04271736153235303,,nclusters=5
sklearn,cluster,Spectral5_silhouette,ALL,0.020425765855814692,,nclusters=5
sklearn,cluster,DBSCAN_silhouette,ALL,,,nclusters=1
sklearn,cluster,gmm_2_bic,ALL,-117705.43884481376,,
sklearn,cluster,gmm_3_bic,ALL,-110639.0090211597,,
sklearn,cluster,gmm_5_bic,ALL,-97372.11903940419,,
sklearn,manifold,Isomap_recon_err,ALL,,,
sklearn,manifold,LLE_recon_err,ALL,0.10710255894946388,,
sklearn,outlier,IsolationForest_n_outlier_days,ALL,25.0,,
sklearn,outlier,EllipticEnvelope_n_outlier_days,ALL,25.0,,
sklearn,outlier,LOF_n_outlier_days,ALL,25.0,,
sklearn,predict,LinearRegression_oos_r2,pooled,-0.002091096618701327,,shuffled=-0.00125
sklearn,predict,Ridge_oos_r2,pooled,-0.0009225722587956175,,shuffled=-0.00086
sklearn,predict,Lasso_oos_r2,pooled,-0.00015031987037024132,,shuffled=-0.00119
sklearn,predict,ElasticNet_oos_r2,pooled,-0.00015031987037024132,,shuffled=-0.00033
sklearn,predict,Huber_oos_r2,pooled,-0.0019529998301857532,,shuffled=-0.00179
sklearn,predict,KNN_oos_r2,pooled,-0.018184631162993938,,shuffled=-0.02529
sklearn,predict,SVR_rbf_oos_r2,pooled,-0.05075053725203475,,shuffled=-0.19916
sklearn,predict,RandomForest_oos_r2,pooled,0.003593425183355947,,shuffled=-0.00130
sklearn,predict,ExtraTrees_oos_r2,pooled,0.0014000565026919265,,shuffled=-0.00156
sklearn,predict,GradientBoosting_oos_r2,pooled,0.004200102516366466,,shuffled=-0.00499
sklearn,predict,HistGBM_oos_r2,pooled,0.004481993002051765,,shuffled=-0.00835
sklearn,predict,AdaBoost_oos_r2,pooled,-0.0017678467690414256,,shuffled=-0.00470
sklearn,predict,Bagging_oos_r2,pooled,-0.052001692284098455,,shuffled=-0.06369
sklearn,predict,MLP_oos_r2,pooled,,,shuffled=nan
