library,family,test,target,statistic,pvalue,note
scipy.signal,spectral,welch_peak_period_days,ALGO,11.636363636363637,,
scipy.signal,spectral,spectral_flatness,ALGO,0.9004815047982628,,
scipy.signal,spectral,welch_peak_period_days,AENO,11.636363636363637,,
scipy.signal,spectral,spectral_flatness,AENO,0.8833291039707506,,
scipy.signal,spectral,welch_peak_period_days,LSST,3.1219512195121952,,
scipy.signal,spectral,spectral_flatness,LSST,0.923426974162983,,
scipy.signal,spectral,welch_peak_period_days,SRNA,128.0,,
scipy.signal,spectral,spectral_flatness,SRNA,0.909217192497992,,
scipy.signal,spectral,welch_peak_period_days,ELLT,4.7407407407407405,,
scipy.signal,spectral,spectral_flatness,ELLT,0.8988531895175456,,
scipy.signal,spectral,welch_peak_period_days,AMRP,4.266666666666667,,
scipy.signal,spectral,spectral_flatness,AMRP,0.9064069340718411,,
scipy.signal,spectral,welch_peak_period_days,OTCS,5.333333333333333,,
scipy.signal,spectral,spectral_flatness,OTCS,0.9244939793913213,,
scipy.signal,spectral,welch_peak_period_days,HETT,8.0,,
scipy.signal,spectral,spectral_flatness,HETT,0.9389577125293679,,
scipy.signal,spectral,welch_peak_period_days,HUXZ,3.3684210526315788,,
scipy.signal,spectral,spectral_flatness,HUXZ,0.9160798578448245,,
scipy.signal,spectral,welch_peak_period_days,DUCT,4.129032258064516,,
scipy.signal,spectral,spectral_flatness,DUCT,0.9069140816952428,,
scipy.signal,spectral,welch_peak_period_days,SMAH,2.6666666666666665,,
scipy.signal,spectral,spectral_flatness,SMAH,0.9057172213431459,,
scipy.signal,spectral,welch_peak_period_days,NPCK,2.723404255319149,,
scipy.signal,spectral,spectral_flatness,NPCK,0.891330062085056,,
scipy.signal,spectral,welch_peak_period_days,MSDP,2.245614035087719,,
scipy.signal,spectral,spectral_flatness,MSDP,0.8928329682941152,,
scipy.signal,spectral,welch_peak_period_days,EORC,5.12,,
scipy.signal,spectral,spectral_flatness,EORC,0.9136213217930588,,
scipy.signal,spectral,welch_peak_period_days,CUBO,2.723404255319149,,
scipy.signal,spectral,spectral_flatness,CUBO,0.913679662358697,,
scipy.signal,spectral,welch_peak_period_days,HRET,3.2,,
scipy.signal,spectral,spectral_flatness,HRET,0.9185323718116796,,
scipy.signal,spectral,welch_peak_period_days,ANSO,2.206896551724138,,
scipy.signal,spectral,spectral_flatness,ANSO,0.9198230128856548,,
scipy.signal,spectral,welch_peak_period_days,DIHO,5.818181818181818,,
scipy.signal,spectral,spectral_flatness,DIHO,0.9234478379629236,,
scipy.signal,spectral,welch_peak_period_days,RTTH,32.0,,
scipy.signal,spectral,spectral_flatness,RTTH,0.8877184511516671,,
scipy.signal,spectral,welch_peak_period_days,SPLZ,2.169491525423729,,
scipy.signal,spectral,spectral_flatness,SPLZ,0.8989827587269373,,
scipy.signal,spectral,welch_peak_period_days,NWIG,3.2,,
scipy.signal,spectral,spectral_flatness,NWIG,0.9385588682915845,,
scipy.signal,spectral,welch_peak_period_days,MMBT,8.533333333333333,,
scipy.signal,spectral,spectral_flatness,MMBT,0.9223731760279856,,
scipy.signal,spectral,welch_peak_period_days,MDGI,9.142857142857142,,
scipy.signal,spectral,spectral_flatness,MDGI,0.9088659534228468,,
scipy.signal,spectral,welch_peak_period_days,AGVF,2.169491525423729,,
scipy.signal,spectral,spectral_flatness,AGVF,0.9143625164603579,,
scipy.signal,spectral,welch_peak_period_days,RRES,10.666666666666666,,
scipy.signal,spectral,spectral_flatness,RRES,0.9297974534036283,,
scipy.signal,spectral,welch_peak_period_days,CTGI,8.0,,
scipy.signal,spectral,spectral_flatness,CTGI,0.9167047548261219,,
scipy.signal,spectral,welch_peak_period_days,ALUT,8.0,,
scipy.signal,spectral,spectral_flatness,ALUT,0.9191485854124151,,
scipy.signal,spectral,welch_peak_period_days,ACAC,3.2,,
scipy.signal,spectral,spectral_flatness,ACAC,0.9186362118884615,,
scipy.signal,spectral,welch_peak_period_days,SRTX,5.333333333333333,,
scipy.signal,spectral,spectral_flatness,SRTX,0.9036532088375852,,
scipy.signal,spectral,welch_peak_period_days,GARI,3.3684210526315788,,
scipy.signal,spectral,spectral_flatness,GARI,0.9098240484546782,,
scipy.signal,spectral,welch_peak_period_days,RCRI,5.818181818181818,,
scipy.signal,spectral,spectral_flatness,RCRI,0.9434181847838821,,
scipy.signal,spectral,welch_peak_period_days,ACIX,11.636363636363637,,
scipy.signal,spectral,spectral_flatness,ACIX,0.9300641518694689,,
scipy.signal,spectral,welch_peak_period_days,CCNS,2.56,,
scipy.signal,spectral,spectral_flatness,CCNS,0.9445110246070534,,
scipy.signal,spectral,welch_peak_period_days,MTNS,4.129032258064516,,
scipy.signal,spectral,spectral_flatness,MTNS,0.9069014392236706,,
scipy.signal,spectral,welch_peak_period_days,IHOZ,2.909090909090909,,
scipy.signal,spectral,spectral_flatness,IHOZ,0.9287028121090998,,
scipy.signal,spectral,welch_peak_period_days,NAYO,2.9767441860465116,,
scipy.signal,spectral,spectral_flatness,NAYO,0.9231405037344534,,
scipy.signal,spectral,welch_peak_period_days,FWWG,5.818181818181818,,
scipy.signal,spectral,spectral_flatness,FWWG,0.8993574461281494,,
scipy.signal,spectral,welch_peak_period_days,EELT,8.0,,
scipy.signal,spectral,spectral_flatness,EELT,0.8962604147712036,,
scipy.signal,spectral,welch_peak_period_days,HRND,3.657142857142857,,
scipy.signal,spectral,spectral_flatness,HRND,0.917514258924534,,
scipy.signal,spectral,welch_peak_period_days,AETS,2.9767441860465116,,
scipy.signal,spectral,spectral_flatness,AETS,0.9047028061422947,,
scipy.signal,spectral,welch_peak_period_days,ULXY,5.818181818181818,,
scipy.signal,spectral,spectral_flatness,ULXY,0.890933923996327,,
scipy.signal,spectral,welch_peak_period_days,BLBT,2.56,,
scipy.signal,spectral,spectral_flatness,BLBT,0.9038963311835688,,
scipy.signal,spectral,welch_peak_period_days,BENI,25.6,,
scipy.signal,spectral,spectral_flatness,BENI,0.9331404428223316,,
scipy.signal,spectral,welch_peak_period_days,ITPA,11.636363636363637,,
scipy.signal,spectral,spectral_flatness,ITPA,0.8966159288126169,,
scipy.signal,spectral,welch_peak_period_days,HTRK,4.129032258064516,,
scipy.signal,spectral,spectral_flatness,HTRK,0.9417155195381817,,
scipy.signal,spectral,welch_peak_period_days,NGTE,2.9767441860465116,,
scipy.signal,spectral,spectral_flatness,NGTE,0.9376633103846407,,
scipy.signal,spectral,welch_peak_period_days,ILVX,4.7407407407407405,,
scipy.signal,spectral,spectral_flatness,ILVX,0.9326193705577921,,
scipy.signal,spectral,welch_peak_period_days,FCSG,7.529411764705882,,
scipy.signal,spectral,spectral_flatness,FCSG,0.9081166178007097,,
scipy.signal,spectral,welch_peak_period_days,FARS,2.4615384615384617,,
scipy.signal,spectral,spectral_flatness,FARS,0.8762554245227737,,
scipy.signal,spectral,welch_peak_period_days,MHRM,3.878787878787879,,
scipy.signal,spectral,spectral_flatness,MHRM,0.9232399951627325,,
scipy.signal,spectral,welch_peak_period_days,EAFC,6.7368421052631575,,
scipy.signal,spectral,spectral_flatness,EAFC,0.8880317750015486,,
scipy.signal,spectral,spectral_slope,ALGO,-0.006571504899200048,,
scipy.signal,spectral,spectral_slope,AENO,-0.08302631395842677,,
scipy.signal,spectral,spectral_slope,LSST,0.050482448699392134,,
scipy.signal,spectral,spectral_slope,SRNA,-0.13267202940703507,,
scipy.signal,spectral,spectral_slope,ELLT,0.22300379384645153,,
scipy.signal,spectral,spectral_slope,AMRP,0.005629347386804981,,
scipy.signal,spectral,spectral_slope,OTCS,0.0402957242290854,,
scipy.signal,spectral,spectral_slope,HETT,-0.14230461230037614,,
scipy.signal,spectral,spectral_slope,HUXZ,-0.01597132376843557,,
scipy.signal,spectral,spectral_slope,DUCT,0.026083966893371807,,
scipy.signal,spectral,spectral_slope,SMAH,0.026154873128440597,,
scipy.signal,spectral,spectral_slope,NPCK,-0.2280503807932389,,
scipy.signal,spectral,spectral_slope,MSDP,0.05789468465347761,,
scipy.signal,spectral,spectral_slope,EORC,0.09500373373456443,,
scipy.signal,spectral,spectral_slope,CUBO,0.00019901850727698257,,
scipy.signal,spectral,spectral_slope,HRET,0.09171909184592122,,
scipy.signal,spectral,spectral_slope,ANSO,0.12440251650912969,,
scipy.signal,spectral,spectral_slope,DIHO,-0.07136251830573999,,
scipy.signal,spectral,spectral_slope,RTTH,0.04516949703662094,,
scipy.signal,spectral,spectral_slope,SPLZ,0.07532325786686184,,
scipy.signal,spectral,spectral_slope,NWIG,0.016675658016154275,,
scipy.signal,spectral,spectral_slope,MMBT,-0.026886645401324967,,
scipy.signal,spectral,spectral_slope,MDGI,0.08721970252988567,,
scipy.signal,spectral,spectral_slope,AGVF,0.065354794987676,,
scipy.signal,spectral,spectral_slope,RRES,0.0730081572496432,,
scipy.signal,spectral,spectral_slope,CTGI,0.026131955618188644,,
scipy.signal,spectral,spectral_slope,ALUT,-0.07943558184520881,,
scipy.signal,spectral,spectral_slope,ACAC,0.10071693708192005,,
scipy.signal,spectral,spectral_slope,SRTX,-0.0645091641925849,,
scipy.signal,spectral,spectral_slope,GARI,0.010204646222541611,,
scipy.signal,spectral,spectral_slope,RCRI,-0.07325459366686977,,
scipy.signal,spectral,spectral_slope,ACIX,-0.09359130085483153,,
scipy.signal,spectral,spectral_slope,CCNS,0.006713812137791811,,
scipy.signal,spectral,spectral_slope,MTNS,0.0937229825374938,,
scipy.signal,spectral,spectral_slope,IHOZ,-0.18854169132272552,,
scipy.signal,spectral,spectral_slope,NAYO,0.061017697292685615,,
scipy.signal,spectral,spectral_slope,FWWG,0.016859675237067093,,
scipy.signal,spectral,spectral_slope,EELT,0.017125993005813727,,
scipy.signal,spectral,spectral_slope,HRND,0.008983849734076513,,
scipy.signal,spectral,spectral_slope,AETS,0.010929841176119916,,
scipy.signal,spectral,spectral_slope,ULXY,0.18793669988347858,,
scipy.signal,spectral,spectral_slope,BLBT,0.13346992010637504,,
scipy.signal,spectral,spectral_slope,BENI,-0.001649846578025088,,
scipy.signal,spectral,spectral_slope,ITPA,0.08574014738661034,,
scipy.signal,spectral,spectral_slope,HTRK,0.03789584255143832,,
scipy.signal,spectral,spectral_slope,NGTE,0.020783418758285505,,
scipy.signal,spectral,spectral_slope,ILVX,-0.1622525557828707,,
scipy.signal,spectral,spectral_slope,FCSG,-0.015334891936957367,,
scipy.signal,spectral,spectral_slope,FARS,0.13429506188129287,,
scipy.signal,spectral,spectral_slope,MHRM,0.09517528672950133,,
scipy.signal,spectral,spectral_slope,EAFC,0.0053797978222081735,,
scipy.signal,coherence,algo_coherence_mean,AENO,0.3089617653950202,,
scipy.signal,coherence,algo_coherence_mean,LSST,0.3281022991426406,,
scipy.signal,coherence,algo_coherence_mean,SRNA,0.3592035172047349,,
scipy.signal,coherence,algo_coherence_mean,ELLT,0.3406344859124804,,
scipy.signal,coherence,algo_coherence_mean,AMRP,0.29059440164629996,,
scipy.signal,coherence,algo_coherence_mean,OTCS,0.2863611982513996,,
scipy.signal,coherence,algo_coherence_mean,HETT,0.3427963553596175,,
scipy.signal,coherence,algo_coherence_mean,HUXZ,0.36344080946389773,,
scipy.signal,coherence,algo_coherence_mean,DUCT,0.40770313731406493,,
scipy.signal,coherence,algo_coherence_mean,SMAH,0.32095172932751237,,
scipy.signal,coherence,algo_coherence_mean,NPCK,0.310675414695837,,
scipy.signal,coherence,algo_coherence_mean,MSDP,0.34782425344878837,,
scipy.signal,coherence,algo_coherence_mean,EORC,0.260071776961232,,
scipy.signal,coherence,algo_coherence_mean,CUBO,0.4042167633805272,,
scipy.signal,coherence,algo_coherence_mean,HRET,0.30031769778173845,,
scipy.signal,coherence,algo_coherence_mean,ANSO,0.3238404168807083,,
scipy.signal,coherence,algo_coherence_mean,DIHO,0.2781065793733138,,
scipy.signal,coherence,algo_coherence_mean,RTTH,0.23379923225397464,,
scipy.signal,coherence,algo_coherence_mean,SPLZ,0.3257151417518978,,
scipy.signal,coherence,algo_coherence_mean,NWIG,0.3097483337309497,,
scipy.signal,coherence,algo_coherence_mean,MMBT,0.28303395933078984,,
scipy.signal,coherence,algo_coherence_mean,MDGI,0.29268542928649305,,
scipy.signal,coherence,algo_coherence_mean,AGVF,0.3258824182324139,,
scipy.signal,coherence,algo_coherence_mean,RRES,0.32958992095268447,,
scipy.signal,coherence,algo_coherence_mean,CTGI,0.3169930970624384,,
scipy.signal,coherence,algo_coherence_mean,ALUT,0.28807882262090234,,
scipy.signal,coherence,algo_coherence_mean,ACAC,0.3377764882152937,,
scipy.signal,coherence,algo_coherence_mean,SRTX,0.3194639853825425,,
scipy.signal,coherence,algo_coherence_mean,GARI,0.38006932676424826,,
