library,family,test,target,statistic,pvalue,note
statsmodels,unitroot,adf_price,ALGO,-1.0869391985053634,0.7202521987113772,
statsmodels,unitroot,adf_return,ALGO,-16.834672682524346,1.1506545200780736e-29,
statsmodels,unitroot,kpss_price,ALGO,1.049553104359394,0.01,
statsmodels,unitroot,range_unitroot_price,ALGO,1.9677398201998149,0.9,
statsmodels,unitroot,zivot_andrews_price,ALGO,-3.86287986325198,0.4378572358830068,break_at=170
statsmodels,unitroot,adf_price,AENO,-0.20333724482533033,0.9381226558971992,
statsmodels,unitroot,adf_return,AENO,-21.641854929859004,0.0,
statsmodels,unitroot,kpss_price,AENO,3.1595822825334325,0.01,
statsmodels,unitroot,range_unitroot_price,AENO,3.488266044899672,0.95,
statsmodels,unitroot,zivot_andrews_price,AENO,-3.552866231616479,0.6453178958279358,break_at=79
statsmodels,unitroot,adf_price,LSST,-2.588310675230198,0.09543736053747176,
statsmodels,unitroot,adf_return,LSST,-22.030156502835187,0.0,
statsmodels,unitroot,kpss_price,LSST,0.6577952476487747,0.01738225021374775,
statsmodels,unitroot,range_unitroot_price,LSST,1.6546903033498443,0.9,
statsmodels,unitroot,zivot_andrews_price,LSST,-3.770935653124755,0.4995553914690484,break_at=346
statsmodels,unitroot,adf_price,SRNA,-0.6617628455191051,0.8564068319356349,
statsmodels,unitroot,adf_return,SRNA,-10.773802016766226,2.3475674196826173e-19,
statsmodels,unitroot,kpss_price,SRNA,1.787411413405572,0.01,
statsmodels,unitroot,range_unitroot_price,SRNA,3.3541019662496843,0.95,
statsmodels,unitroot,zivot_andrews_price,SRNA,-3.520631421849303,0.6662755937342841,break_at=153
statsmodels,unitroot,adf_price,ELLT,-1.7247721456162224,0.4183964303822514,
statsmodels,unitroot,adf_return,ELLT,-16.687614400227243,1.497900339530079e-29,
statsmodels,unitroot,kpss_price,ELLT,1.2479712860769898,0.01,
statsmodels,unitroot,range_unitroot_price,ELLT,2.817445651649735,0.9,
statsmodels,unitroot,zivot_andrews_price,ELLT,-3.6776157821239197,0.5627138436210791,break_at=123
statsmodels,unitroot,adf_price,AMRP,-1.96600240284183,0.30167585364374594,
statsmodels,unitroot,adf_return,AMRP,-16.774684849089713,1.2785329218597703e-29,
statsmodels,unitroot,kpss_price,AMRP,2.781660330263471,0.01,
statsmodels,unitroot,range_unitroot_price,AMRP,1.8782971010998233,0.9,
statsmodels,unitroot,zivot_andrews_price,AMRP,-4.248525162372874,0.2150881019860772,break_at=154
statsmodels,unitroot,adf_price,OTCS,-0.9499177907316249,0.7710898640839707,
statsmodels,unitroot,adf_return,OTCS,-22.738092678506007,0.0,
statsmodels,unitroot,kpss_price,OTCS,3.289048684337375,0.01,
statsmodels,unitroot,range_unitroot_price,OTCS,2.54911749434976,0.9,
statsmodels,unitroot,zivot_andrews_price,OTCS,-3.906351331156395,0.40924914669461854,break_at=382
statsmodels,unitroot,adf_price,HETT,-1.923490324099942,0.32109248031886145,
statsmodels,unitroot,adf_return,HETT,-14.19243429888621,1.8468465567539544e-26,
statsmodels,unitroot,kpss_price,HETT,0.2209026006296008,0.1,
statsmodels,unitroot,range_unitroot_price,HETT,1.8335757415498275,0.9,
statsmodels,unitroot,zivot_andrews_price,HETT,-2.818514991977144,0.951977212991191,break_at=295
statsmodels,unitroot,adf_price,HUXZ,-0.750046516548042,0.8333571618604655,
statsmodels,unitroot,adf_return,HUXZ,-23.076489868602007,0.0,
statsmodels,unitroot,kpss_price,HUXZ,2.8500287270197497,0.01,
statsmodels,unitroot,range_unitroot_price,HUXZ,1.9677398201998149,0.9,
statsmodels,unitroot,zivot_andrews_price,HUXZ,-4.550136389124818,0.10472538020593257,break_at=179
statsmodels,unitroot,adf_price,DUCT,-0.5782551828351432,0.8758201542381363,
statsmodels,unitroot,adf_return,DUCT,-23.38122431837959,0.0,
statsmodels,unitroot,kpss_price,DUCT,2.4182688301166126,0.01,
statsmodels,unitroot,range_unitroot_price,DUCT,2.817445651649735,0.9,
statsmodels,unitroot,zivot_andrews_price,DUCT,-3.5844043139980046,0.624420677181285,break_at=101
statsmodels,unitroot,adf_price,SMAH,-1.446294576421739,0.5598918961366925,
statsmodels,unitroot,adf_return,SMAH,-22.124445593731735,0.0,
statsmodels,unitroot,kpss_price,SMAH,2.6284917999767563,0.01,
statsmodels,unitroot,range_unitroot_price,SMAH,2.101903898849802,0.9,
statsmodels,unitroot,zivot_andrews_price,SMAH,-3.508733602457238,0.6739694759071143,break_at=400
statsmodels,unitroot,adf_price,NPCK,-0.8888639004014359,0.7916175704464015,
statsmodels,unitroot,adf_return,NPCK,-14.133554921126354,2.3110985380398024e-26,
statsmodels,unitroot,kpss_price,NPCK,3.5538522901248255,0.01,
statsmodels,unitroot,range_unitroot_price,NPCK,3.5777087639996634,0.95,
statsmodels,unitroot,zivot_andrews_price,NPCK,-5.350422315193213,0.007349774779129343,break_at=117
statsmodels,unitroot,adf_price,MSDP,-0.855123078939279,0.8023917423820986,
statsmodels,unitroot,adf_return,MSDP,-22.427830075096633,0.0,
statsmodels,unitroot,kpss_price,MSDP,3.119877078481629,0.01,
statsmodels,unitroot,range_unitroot_price,MSDP,2.2807893370497854,0.9,
statsmodels,unitroot,zivot_andrews_price,MSDP,-3.746339488589511,0.5156792984108379,break_at=119
statsmodels,unitroot,adf_price,EORC,-0.21667731709433719,0.9365043093189945,
statsmodels,unitroot,adf_return,EORC,-22.713844305437497,0.0,
statsmodels,unitroot,kpss_price,EORC,1.0383083179472554,0.01,
statsmodels,unitroot,range_unitroot_price,EORC,3.3093806066996887,0.95,
statsmodels,unitroot,zivot_andrews_price,EORC,-2.8141473764874836,0.9526277365970386,break_at=170
statsmodels,unitroot,adf_price,CUBO,-0.7250093848610356,0.84016476403819,
statsmodels,unitroot,adf_return,CUBO,-23.825941144683426,0.0,
statsmodels,unitroot,kpss_price,CUBO,2.9257112987480403,0.01,
statsmodels,unitroot,range_unitroot_price,CUBO,1.9677398201998149,0.9,
statsmodels,unitroot,zivot_andrews_price,CUBO,-4.159522917852169,0.25992656066178405,break_at=114
statsmodels,unitroot,adf_price,HRET,-1.5923308382593153,0.4874448426576987,
statsmodels,unitroot,adf_return,HRET,-24.033103133153453,0.0,
statsmodels,unitroot,kpss_price,HRET,0.6855888623477033,0.014855557968390604,
statsmodels,unitroot,range_unitroot_price,HRET,1.744133022449836,0.9,
statsmodels,unitroot,zivot_andrews_price,HRET,-3.8024514818725974,0.47715926529804037,break_at=170
statsmodels,unitroot,adf_price,ANSO,-1.5266255535890965,0.5203013628076256,
statsmodels,unitroot,adf_return,ANSO,-25.122993566722364,0.0,
statsmodels,unitroot,kpss_price,ANSO,2.7981303614873547,0.01,
statsmodels,unitroot,range_unitroot_price,ANSO,2.2807893370497854,0.9,
statsmodels,unitroot,zivot_andrews_price,ANSO,-3.714992288041771,0.5368438015781581,break_at=218
statsmodels,unitroot,adf_price,DIHO,-2.1787970983500977,0.2140306806671038,
statsmodels,unitroot,adf_return,DIHO,-14.264423835711533,1.4085589218495797e-26,
statsmodels,unitroot,kpss_price,DIHO,1.1603609886936708,0.01,
statsmodels,unitroot,range_unitroot_price,DIHO,1.520526224699857,0.9,
statsmodels,unitroot,zivot_andrews_price,DIHO,-3.563523713665865,0.6382562194103729,break_at=129
statsmodels,unitroot,adf_price,RTTH,-2.627748678420663,0.0873967164017202,
statsmodels,unitroot,adf_return,RTTH,-21.129611192717388,0.0,
statsmodels,unitroot,kpss_price,RTTH,2.008004755744845,0.01,
statsmodels,unitroot,range_unitroot_price,RTTH,1.1627553482998907,0.025,
statsmodels,unitroot,zivot_andrews_price,RTTH,-4.819300797516494,0.04903124887571344,break_at=80
statsmodels,unitroot,adf_price,SPLZ,-0.7388443604301941,0.8364298351675518,
statsmodels,unitroot,adf_return,SPLZ,-10.911421567060724,1.0944928894503117e-19,
statsmodels,unitroot,kpss_price,SPLZ,2.1198086598344594,0.01,
statsmodels,unitroot,range_unitroot_price,SPLZ,2.5043961347997645,0.9,
statsmodels,unitroot,zivot_andrews_price,SPLZ,-3.198656141373593,0.8409857529372371,break_at=157
statsmodels,unitroot,adf_price,NWIG,-0.6069853501192748,0.8693957988609078,
statsmodels,unitroot,adf_return,NWIG,-22.814868424292925,0.0,
statsmodels,unitroot,kpss_price,NWIG,2.9209321753255644,0.01,
statsmodels,unitroot,range_unitroot_price,NWIG,2.996331089849718,0.9,
statsmodels,unitroot,zivot_andrews_price,NWIG,-3.3682661660322304,0.7590562753252148,break_at=85
statsmodels,unitroot,adf_price,MMBT,-1.9795899149932197,0.29559328267296314,
statsmodels,unitroot,adf_return,MMBT,-22.06343847440205,0.0,
statsmodels,unitroot,kpss_price,MMBT,2.338572173377512,0.01,
statsmodels,unitroot,range_unitroot_price,MMBT,1.6099689437998486,0.9,
statsmodels,unitroot,zivot_andrews_price,MMBT,-3.712898643977603,0.5382940953327773,break_at=151
statsmodels,unitroot,adf_price,MDGI,-1.8909970831794884,0.3363081475611006,
statsmodels,unitroot,adf_return,MDGI,-11.799356074153193,9.411291146584818e-22,
statsmodels,unitroot,kpss_price,MDGI,0.9354994465991134,0.01,
statsmodels,unitroot,range_unitroot_price,MDGI,2.0124611797498106,0.9,
statsmodels,unitroot,zivot_andrews_price,MDGI,-2.337342027140151,0.9911110536776856,break_at=382
statsmodels,unitroot,adf_price,AGVF,-1.138284637774943,0.6995655609902345,
statsmodels,unitroot,adf_return,AGVF,-23.517722273156895,0.0,
statsmodels,unitroot,kpss_price,AGVF,3.2298769659176925,0.01,
statsmodels,unitroot,range_unitroot_price,AGVF,2.862167011199731,0.9,
statsmodels,unitroot,zivot_andrews_price,AGVF,-4.097025376027764,0.2938176212470854,break_at=360
statsmodels,unitroot,adf_price,RRES,-1.0889955994121758,0.7194403224661167,
statsmodels,unitroot,adf_return,RRES,-21.66933076673919,0.0,
statsmodels,unitroot,kpss_price,RRES,2.9020215104436264,0.01,
statsmodels,unitroot,range_unitroot_price,RRES,1.9677398201998149,0.9,
statsmodels,unitroot,zivot_andrews_price,RRES,-3.595689258340719,0.6169432425518689,break_at=319
statsmodels,unitroot,adf_price,CTGI,-2.2715613382019266,0.1813040833253184,
statsmodels,unitroot,adf_return,CTGI,-21.94354543390312,0.0,
statsmodels,unitroot,kpss_price,CTGI,1.6576688132549409,0.01,
statsmodels,unitroot,range_unitroot_price,CTGI,1.6546903033498443,0.9,
statsmodels,unitroot,zivot_andrews_price,CTGI,-4.754482151976662,0.06045861217022898,break_at=361
statsmodels,unitroot,adf_price,ALUT,-1.3588397583700127,0.6018421751935287,
statsmodels,unitroot,adf_return,ALUT,-20.705448248699266,0.0,
statsmodels,unitroot,kpss_price,ALUT,2.2922803276530614,0.01,
statsmodels,unitroot,range_unitroot_price,ALUT,2.101903898849802,0.9,
statsmodels,unitroot,zivot_andrews_price,ALUT,-4.1945073319734165,0.24165086957891174,break_at=92
statsmodels,unitroot,adf_price,ACAC,-0.2925865691408119,0.9265477530216679,
statsmodels,unitroot,adf_return,ACAC,-18.437662929303816,2.1635781938238595e-30,
statsmodels,unitroot,kpss_price,ACAC,2.689885056831112,0.01,
statsmodels,unitroot,range_unitroot_price,ACAC,2.6832815729997477,0.9,
statsmodels,unitroot,zivot_andrews_price,ACAC,-4.446853538265336,0.1362968849975941,break_at=187
statsmodels,unitroot,adf_price,SRTX,-0.628763709956762,0.8643492609554946,
statsmodels,unitroot,adf_return,SRTX,-21.717646784287485,0.0,
statsmodels,unitroot,kpss_price,SRTX,2.7290418656830475,0.01,
statsmodels,unitroot,range_unitroot_price,SRTX,2.6385602134497517,0.9,
statsmodels,unitroot,zivot_andrews_price,SRTX,-4.067908699224184,0.31086377437413204,break_at=416
statsmodels,unitroot,adf_price,GARI,-1.3079387905264974,0.6255325260209759,
statsmodels,unitroot,adf_return,GARI,-12.574582514366071,1.9701836195750053e-23,
statsmodels,unitroot,kpss_price,GARI,3.6716632692401965,0.01,
statsmodels,unitroot,range_unitroot_price,GARI,1.6994116628998401,0.9,
