a,b,coint_p,hedge_beta,half_life_d,spread_adf_p,z_now
AENO,NWIG,2.3344854361815784e-06,0.9048421389014292,3.901827774416081,2.511332188079367e-07,-0.1808909493579315
EORC,NGTE,5.589810387608692e-06,0.5974521356826559,5.491535486765094,6.277207100170592e-07,-1.375898469330079
SMAH,ILVX,9.408404710506407e-06,1.3959846951142545,5.770781484256561,1.083895076782786e-06,0.36908338795775036
HUXZ,ACAC,1.0852117326270614e-05,1.1308155893385954,5.917629922736142,1.259643122277621e-06,-0.18868916637340336
HETT,ULXY,0.0001718287566223812,0.9422825916345461,7.307163156988128,2.376976077920186e-05,-0.20232847520261246
CTGI,EELT,0.00023833220221365986,0.9392114583999884,7.431911069219591,3.383192937946845e-05,1.3857213153097199
ACIX,ITPA,0.0006479538715633118,0.8240458537443174,8.299739645697118,9.991251694192727e-05,-0.2907206050098744
RTTH,NAYO,0.0017997157868737226,0.9170767068439858,10.806194035590247,0.00030578913295065157,0.18615879441706537
DUCT,NWIG,0.003021577962724498,0.15264396084027715,9.940685964216279,0.0005427902373991939,-0.32112507140756336
FWWG,BLBT,0.003069819696350836,0.6621535612583829,9.900781215162395,0.0005527372438845809,-0.6432631493701355
FWWG,EAFC,0.004267998614633341,0.4834691390953749,10.431363407238662,0.0007984250448954773,0.6149027609382369
MTNS,BENI,0.004953597228043069,0.5898583613471128,10.515079132561997,0.0009431245671299152,-0.5199984228114536
CUBO,EAFC,0.0050721510074995205,-2.713977748083254,11.141519961587758,0.0009682504419843565,-0.5560753987783521
CUBO,NWIG,0.005366068612256598,-0.7430430450296845,10.53919709938597,0.001032260754131844,0.9476936156565315
BLBT,EAFC,0.005509196191828693,0.6999624789255625,10.438799453086581,0.0010633547607889655,1.2369781774563893
MTNS,NAYO,0.006013045622686145,0.15730015550773302,13.22092425854498,0.0011690533591856545,0.22517912492086814
NAYO,EAFC,0.006021204423816144,0.2913042510933024,10.946768592711798,0.0011736753824599583,-0.8624374984083155
NAYO,BLBT,0.007415012782181989,0.39898647065808535,11.109548423865986,0.001484526940110487,-1.2022194892669225
AENO,CUBO,0.007479152753061677,-1.015613349583639,11.264942482455405,0.001498880733924016,0.24604956924187352
BENI,FCSG,0.008249846594866873,-0.21004000706943643,15.537272153498316,0.001665103993079916,0.3280157437917439
SRTX,MHRM,0.009190722406183257,10.9571842155137,12.31971651050847,0.0018887886784907668,-0.8418563053513135
RTTH,ALUT,0.009216422607424772,1.640266164604595,11.65825313203229,0.0018984405705159912,0.11625721152562886
NAYO,FWWG,0.009243026449380572,0.5510740061839237,11.435665180175572,0.0019054099251569368,-1.1366096336058589
CUBO,FWWG,0.009762770519987059,-4.895906618422854,11.702326173633898,0.0020266823642488586,0.37427584714133855
NAYO,MHRM,0.010590530321485644,0.5758279067954047,11.880583998803706,0.002223051040845665,-0.872532396828049
