ALGO AENO LSST SRNA ELLT AMRP OTCS HETT HUXZ DUCT SMAH NPCK MSDP EORC CUBO HRET ANSO DIHO RTTH SPLZ NWIG MMBT MDGI AGVF RRES CTGI ALUT ACAC SRTX GARI RCRI ACIX CCNS MTNS IHOZ NAYO FWWG EELT HRND AETS ULXY BLBT BENI ITPA HTRK NGTE ILVX FCSG FARS MHRM EAFC
100.00 116.51 113.55 134.23 64.12 25.05 14.68 59.24 83.62 19.71 44.08 15.14 34.11 31.68 124.31 52.61 41.73 12.47 39.83 104.33 120.19 78.80 144.60 136.28 37.90 86.48 17.48 73.25 290.79 15.60 54.64 16.33 23.62 22.23 136.17 33.34 36.97 74.85 24.07 42.97 45.25 52.23 32.37 18.82 10.86 52.65 32.58 27.46 66.43 22.41 45.08
98.49 112.94 114.53 133.21 62.74 23.96 14.55 58.28 79.94 19.22 43.44 14.74 34.15 31.79 122.99 52.17 41.68 12.37 39.29 102.81 120.04 75.19 142.60 134.82 37.06 84.27 17.55 74.00 283.39 15.47 54.58 16.11 23.97 21.35 133.47 33.50 37.23 76.08 23.09 41.36 44.12 52.73 32.25 18.41 10.77 49.71 31.66 26.47 64.66 22.10 44.28
97.83 112.70 112.17 132.80 61.61 23.30 14.69 57.97 81.20 19.22 42.87 14.68 33.36 31.55 122.11 53.63 41.74 12.63 39.44 101.34 116.39 69.78 136.02 134.65 36.64 85.52 17.59 71.84 279.44 15.84 53.81 16.26 24.17 21.69 133.36 32.64 37.53 76.36 22.96 39.87 45.66 53.23 32.23 18.22 10.69 50.53 30.84 25.28 64.19 20.87 45.30
98.02 112.26 116.09 133.16 63.55 23.47 14.43 57.02 81.82 19.39 43.37 14.87 32.96 30.92 120.21 53.80 41.83 12.76 38.80 100.05 117.31 73.62 133.85 134.33 36.44 89.13 17.23 72.40 276.45 15.65 54.36 15.86 23.87 21.42 134.19 32.24 38.05 80.89 23.37 41.29 45.71 52.67 32.20 18.22 10.28 51.64 30.95 24.60 62.80 20.95 46.32
99.13 113.59 119.58 137.20 63.64 23.61 14.61 58.78 83.01 19.91 43.64 14.92 34.12 30.97 118.87 54.14 41.77 12.63 38.82 105.26 117.15 73.46 134.42 136.34 36.83 89.09 17.49 74.57 280.34 16.29 54.65 15.92 24.16 21.87 139.10 31.65 37.44 80.64 23.07 41.49 47.14 53.59 32.33 18.25 10.50 53.57 31.49 25.66 63.94 20.72 45.56
98.65 110.95 118.05 136.84 63.10 22.84 14.21 57.64 83.03 19.53 44.25 14.79 33.06 31.39 114.19 52.09 42.35 12.69 39.10 108.31 115.78 70.19 134.41 134.52 36.68 89.01 18.10 73.78 285.40 16.17 54.02 15.94 23.87 22.48 139.17 31.63 37.20 79.68 23.19 42.49 45.23 54.34 31.93 18.10 10.56 54.50 31.38 25.23 63.78 20.45 46.42
99.90 111.00 120.20 136.55 64.33 21.97 14.03 58.18 85.42 19.27 45.65 14.25 33.25 31.67 114.60 50.81 43.30 13.03 40.59 113.39 115.26 75.01 136.58 137.74 38.58 92.20 18.35 72.83 295.06 16.29 56.12 15.70 24.78 22.75 140.22 32.76 37.41 86.78 23.83 41.48 46.16 54.76 32.01 18.38 10.67 53.39 32.06 25.12 62.73 21.22 45.07
99.86 108.46 122.13 136.28 61.58 22.23 13.55 58.44 84.80 18.91 45.11 13.94 33.97 31.70 114.12 52.19 43.32 13.22 42.04 116.11 118.14 80.91 135.96 135.20 38.93 93.06 18.22 70.72 290.50 16.12 55.98 15.72 24.29 22.82 139.04 32.85 37.11 89.50 23.02 41.09 45.36 54.63 31.93 18.59 10.75 53.35 32.40 25.28 63.35 20.56 45.09
98.91 105.48 121.07 135.43 62.62 21.12 13.61 58.93 81.09 18.64 45.41 13.72 34.81 31.28 113.28 51.62 44.09 12.84 41.48 112.17 115.12 78.43 135.08 132.33 38.20 86.57 18.40 70.92 287.99 16.11 55.50 15.70 24.63 22.36 136.79 32.94 37.49 89.46 23.01 40.05 45.87 54.83 31.41 18.71 10.79 53.29 32.26 24.32 63.75 20.97 42.58
98.97 101.95 121.72 136.76 63.73 21.22 13.73 58.89 81.04 18.93 45.42 13.86 35.34 32.03 113.50 50.79 44.57 12.63 40.68 114.73 115.09 76.72 138.90 129.65 38.26 91.08 18.63 71.05 286.78 15.68 54.63 15.69 24.43 22.42 136.48 32.83 38.20 89.06 23.05 38.08 45.86 55.69 31.49 18.81 10.75 53.04 32.89 24.07 64.26 20.52 42.15
100.22 104.09 120.94 136.62 64.42 20.94 13.62 58.43 79.06 19.28 45.03 14.05 35.35 32.42 113.83 50.56 45.76 12.71 42.04 116.15 110.79 83.59 140.36 131.50 40.86 89.50 18.99 70.95 284.63 16.17 57.30 16.18 24.69 21.98 140.54 36.45 38.24 97.27 23.25 37.34 47.35 56.18 31.14 18.77 10.70 54.55 32.54 24.77 63.65 20.55 42.23
101.98 105.58 121.50 139.44 64.92 22.63 14.05 57.96 81.24 19.75 44.88 14.24 36.28 32.61 114.91 52.27 46.62 13.07 44.38 120.90 110.77 79.94 141.52 135.95 41.04 89.57 19.25 71.79 294.72 15.79 61.39 16.26 25.61 21.64 146.64 39.63 39.08 99.18 23.94 37.18 49.28 54.92 31.32 18.86 11.08 53.52 33.14 25.26 62.87 20.89 43.16
101.51 104.65 119.25 139.20 64.70 22.31 13.97 58.76 77.26 19.40 43.82 13.79 38.10 32.61 115.24 53.18 45.45 13.09 42.82 127.02 110.47 79.76 134.63 134.40 42.20 86.48 19.12 69.91 291.69 15.51 63.56 15.98 24.99 21.64 146.71 40.64 38.45 101.03 24.16 37.98 49.39 54.66 31.71 18.38 11.09 53.18 32.98 24.83 61.39 20.67 43.11
102.25 103.70 120.29 139.27 66.15 21.24 14.36 59.25 77.75 20.01 43.80 13.90 38.61 32.91 116.49 52.65 44.10 13.78 42.91 125.72 114.00 85.24 133.16 135.74 41.42 87.37 19.88 70.43 286.67 15.84 66.17 16.12 24.71 21.40 145.63 41.61 39.19 103.19 23.65 38.72 49.06 54.86 31.57 18.64 11.15 53.05 33.79 23.98 62.21 20.11 44.81
101.89 106.12 120.23 137.00 66.68 21.78 14.67 59.15 78.82 20.10 43.75 14.24 37.03 32.23 115.88 51.10 45.95 13.26 41.07 123.73 114.52 83.78 136.46 136.12 41.64 86.69 19.79 69.32 289.88 15.64 65.12 16.12 25.05 21.37 145.02 42.50 39.84 96.09 23.85 37.50 51.54 54.47 31.41 18.51 10.85 52.68 34.56 24.05 61.38 20.06 43.62
102.19 108.67 117.11 137.63 66.28 22.16 15.02 59.33 77.88 20.23 44.22 14.40 37.84 32.28 116.16 50.10 46.39 13.19 40.97 127.30 113.67 86.58 138.16 136.08 42.44 87.78 19.32 71.51 300.04 14.96 65.74 16.17 24.79 21.69 147.78 42.30 38.85 97.50 22.16 37.78 53.56 54.58 31.52 18.47 10.88 52.58 34.82 24.66 62.10 19.38 42.24
102.63 108.13 118.38 136.70 67.22 22.94 15.45 60.48 77.90 20.07 44.70 14.69 36.57 32.44 118.32 49.18 46.42 12.85 41.67 126.96 114.27 86.44 137.04 140.41 41.51 91.47 19.31 73.52 303.87 15.27 61.65 16.27 24.96 22.53 151.04 42.01 38.20 101.16 22.08 37.79 53.83 54.46 31.60 18.48 10.94 52.81 34.65 24.79 62.90 19.75 41.13
102.60 106.24 118.36 136.30 67.05 23.67 15.57 60.55 77.77 19.40 43.75 14.96 35.88 31.28 118.89 50.56 46.39 12.96 43.07 128.99 113.27 89.94 138.29 144.46 41.51 92.25 19.70 73.80 299.68 14.91 62.27 16.32 25.09 22.42 149.08 42.34 37.98 100.55 22.17 37.09 51.08 53.84 31.44 18.62 10.98 54.67 34.35 24.99 61.59 19.29 40.71
102.30 107.24 119.46 136.59 66.12 24.63 16.08 60.73 79.65 19.53 43.32 15.01 34.88 32.18 120.65 50.29 45.46 13.33 43.32 130.40 111.18 89.27 137.40 146.93 41.18 90.97 20.08 72.86 313.10 14.25 58.98 16.02 24.48 22.86 148.85 41.20 37.63 100.10 22.32 35.79 51.89 53.25 31.06 18.71 10.81 53.08 33.79 25.34 60.21 18.76 40.22
102.05 109.94 121.20 134.74 66.01 24.97 15.55 61.29 79.15 19.63 42.17 15.24 35.25 31.73 121.32 50.96 46.80 13.12 41.96 128.74 109.01 92.41 137.09 142.13 40.13 92.59 20.27 72.21 315.10 14.47 57.23 15.90 24.43 22.39 147.13 40.67 37.81 98.85 22.17 34.87 51.32 52.96 31.07 19.11 10.77 53.40 33.01 25.67 61.51 19.11 40.12
